productcode,color,clarity,shape,cut,polish,symmetry
100D1Duo,D,IF,BR,EX,EX,EX
100D2Duo,D,VVS1,BR,EX,EX,EX
100D3Duo,D,VVS2,BR,EX,EX,EX
100D4Duo,D,VS1,BR,EX,EX,EX
100D5Duo,D,VS2,BR,EX,EX,EX
100E1Duo,E,IF,BR,EX,EX,EX
100E2Duo,E,VVS1,BR,EX,EX,EX
100E3Duo,E,VVS2,BR,EX,EX,EX
100E4Duo,E,VS1,BR,EX,EX,EX
100E5Duo,E,VS2,BR,EX,EX,EX
100F1Duo,F,IF,BR,EX,EX,EX
100F2Duo,F,VVS1,BR,EX,EX,EX
100F3Duo,F,VVS2,BR,EX,EX,EX
100F4Duo,F,VS1,BR,EX,EX,EX
100F5Duo,F,VS2,BR,EX,EX,EX
100G1Duo,G,IF,BR,EX,EX,EX
100G2Duo,G,VVS1,BR,EX,EX,EX
100G3Duo,G,VVS2,BR,EX,EX,EX
100G4Duo,G,VS1,BR,EX,EX,EX
100G5Duo,G,VS2,BR,EX,EX,EX
100H1Duo,H,IF,BR,EX,EX,EX
100H2Duo,H,VVS1,BR,EX,EX,EX
100H3Duo,H,VVS2,BR,EX,EX,EX
100H4Duo,H,VS1,BR,EX,EX,EX
100H5Duo,H,VS2,BR,EX,EX,EX
